name,amount,deadline,gpa_requirement,field_of_study,description,application_link,active,citizenship_status,academic_level,religious_affiliation,gender,race,first_generation,disability_status,tags
Barry L. Carey M.D. Scholarship,1600,"February 21, 2026",0.0,Any,"The Barry L. Carey, M.D. Scholarship, offered by the Catholic Community Foundation of Southwest Florida, provides a renewable academic scholarship to first-generation college students in the Diocese of Venice. This scholarship honors the Catholic Legacy of Dr. Barry Carey and his family by supporting a graduating high school senior’s educational journey.",N/A,FALSE,Not Specified,High School Senior,Catholic,Any,Not specified,TRUE,FALSE,"[""Catholic"", ""First-Generation"", ""High School"", ""Diocese of Venice""]"
The East Coast Amateur Radio Service Scholarship,2500,"January 6, 2026",0.0,STEM,"The East Coast Amateur Radio Service (ECARS) Scholarship is available to students who are licensed radio amateurs or higher, who are residents of Connecticut, the District of Columbia, Delaware, Kentucky, Massachusetts, Maryland, Maine, Michigan, North Carolina, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, Virginia, Vermont, or West Virginia. Students seeking a professional certification, associate, bachelor's, or graduate degree in science, technical, engineering, or manufacturing fields are eligible to apply. Special consideration is given to older students retraining in a changing work market.",https://bigfuture.collegeboard.org/scholarships/east-coast-amateur-radio-service-ecars-scholarship,TRUE,U.S. Citizen,"Undergraduate, Graduate",None,Any,All,FALSE,FALSE,"[""STEM"", ""Amateur Radio""]"
"Niche 10,000 No Essay Summer Scholarship",10000,"July 31, 2025",0.0,Any,An easy-to-apply-for scholarship to help with college expenses. No essay required.,https://www.google.com/search?q=https://www.niche.com/colleges/scholarships/niche-10000-no-essay-summer-scholarship/,TRUE,U.S. Citizen,"High School Senior, Undergraduate, Graduate",None,Any,All,FALSE,FALSE,"[""No-Essay"", ""Quick Application"", ""All Academic Levels""]"
Live Your Dream Awards,16000,"November 15, 2025",0.0,Any,Provides financial assistance to women who are the primary financial support for their families and are seeking to improve their education.,https://www.soroptimist.org/our-work/live-your-dream-awards/,TRUE,"U.S. Citizen, International",Any,None,Female,All,FALSE,FALSE,"[""Women"", ""Single Parents"", ""Financial Need""]"
Platinum Educational Group Scholarships Program,1000,"July 28, 2026",0.0,"EMS, Nursing, Allied Health","Financial assistance for students entering the EMS, Nursing, and Allied Health fields. Requires a social media post.",https://www.platinumed.com/scholarships/,TRUE,U.S. Citizen,Undergraduate,None,All,All,FALSE,FALSE,"[""Healthcare"", ""Social Media"", ""No-Essay""]"
Google Lime Scholarship,10000,"December 1, 2025",0.0,"Computer Science, Engineering",Supports students with disabilities pursuing degrees in computer science or related fields.,https://www.google.com/search?q=https://www.limeconnect.com/programs/google-lime-scholarship-program,TRUE,"U.S. Citizen, International",Undergraduate,None,All,All,FALSE,TRUE,"[""Disability"", ""STEM"", ""Engineering"", ""International""]"
Robert A. Kleckner Scholarship,3400,"January 14, 2026",0.0,"Accounting, Finance","This need-based scholarship is for graduating seniors and graduates of high schools in Charlotte, Collier, Glades, Hendry, or Lee counties in Florida. Applicants must be pursuing a degree and career in accounting or finance.",https://bigfuture.collegeboard.org/scholarships/robert-a-kleckner-scholarship,TRUE,U.S. Citizen,"Undergraduate, Graduate",None,All,All,FALSE,FALSE,"[""Florida Residents"", ""Accounting"", ""Finance"", ""Financial Need"", ""Specific Counties""]"
COMTO Chicago Founding Fathers Leadership Legacy Scholarship,2000,"August 11, 2025",2.0,"Transportation or related fields, including engineering (civil, construction, environmental, mechanical, electrical), STEM, social sciences, and business administration","This scholarship is available to minority undergraduate students who are residents of Illinois or attending a school in Illinois. Applicants must be members of the Conference of Minority Transportation Officials (COMTO) Chicago Chapter and be pursuing a bachelor's degree with a career interest in transportation. An essay is required, and participation in community service or leadership is preferred.",https://www.comtochicago.org/scholarships,TRUE,"U.S. Citizen, DACA",Undergraduate,None,All,All,FALSE,FALSE,"[""Illinois"", ""Transportation"", ""Engineering"", ""STEM"", ""Social Sciences"", ""Business Administration"", ""Leadership"", ""Community Service"", ""DACA""]"
Alan & Mary Jo Lincoln Scholarship,1000,"June 22, 2026",2.5,Any,"We are offering a 1,000 scholarship to graduating African American High School Seniors who will be attending College/University or Trade School full-time in the Fall.",https://riversidesalesgroup.com/scholarship/,TRUE,U.S. Citizen,High School Senior,None,Any,African American,FALSE,FALSE,"[""African American"", ""High School Senior"", ""Trade School""]"
Miller Lite Brewed to Be Bright Scholarship,5000,"October 28, 2026",2.5,Any,"This scholarship is for undergraduate students (ages 21+) attending a 2 or 4-year HACU member institution in specific U.S. states and territories (California, Colorado, Florida, Illinois, New York, Puerto Rico, Texas, Wisconsin). It is not need-based or merit-based but focuses on supporting Hispanic leaders. No essay is required. Recipients also receive sponsorship to attend HACU's ¡Adelante! Leadership Institute.",https://hacu.net/programs/hacu-scholarship-program/,TRUE,"U.S. Citizen, DACA",Undergraduate,None,All,All,FALSE,FALSE,"[""Hispanic"", ""HACU"", ""No-Essay"", ""Leadership"", ""Career Development"", ""DACA""]"
Steel Intern Scholarship,7500,"October 14, 2026",2.5,"Engineering, Engineering Technology, Computer Science, Data Science, Environmental/Sustainability Science, Industrial Safety","This scholarship is for full-time undergraduate (sophomore, junior, senior) or first-year graduate students at North American universities with a passion for the iron and steel industry. It requires a commitment to a paid summer internship at a North American steel-producing or steel-related company prior to the scholarship funding. An essay and recommendations are required.",https://www.aist.org/students-faculty/scholarships/steel-intern-scholarships,TRUE,"U.S. Citizen, Canadian Citizen, Mexican Citizen","Undergraduate, Graduate",None,All,All,FALSE,FALSE,"[""Steel Industry"", ""STEM"", ""Internship"", ""Engineering"", ""Computer Science"", ""Data Science"", ""Environmental Science"", ""Industrial Safety"", ""North America"", ""Essay""]"
S-5 National Science Foundation STEM Scholarship,3250,"December 30, 2025",2.7,"STEM fields (Biomedical Sciences, Computer Systems Networking, Network/Database/System Administration, Biomedical Technician, Information Technology, Engineering Technology, Environmental Science)","This need-based scholarship, funded by the National Science Foundation, is for undergraduate students attending Florida State College at Jacksonville. Applicants must be studying in an approved STEM field and demonstrate financial need. Open to U.S. citizens, nationals, permanent residents, foreign refugees, or noncitizen foreign nationals.",https://www.fscj.edu/financial-aid/scholarships,TRUE,"U.S. Citizen, International, DACA",Undergraduate,None,All,All,FALSE,FALSE,"[""Florida"", ""Jacksonville"", ""STEM"", ""Financial Need"", ""NSF"", ""DACA""]"
